Experiment Name,Subject ID,trialnum,Start Time,time,categoryname,score,scoretime,switchtime,partshape,partshapenum,trueshape,trueshapenum,result,totalscore,minusscore,money
memory,kevin13,13,57:38.8,23:04,HOBBIES,25,"['14:57:44.220', '14:57:46.43', '14:57:46.871', '14:57:47.572', '14:57:48.473', '14:57:52.478', '14:57:53.693', '14:57:58.508', '14:57:59.138', '14:58:0.307', '14:58:1.141', '14:58:2.153', '14:58:5.190', '14:58:9.420', '14:58:10.320', '14:58:11.512', '14:58:12.98', '14:58:15.744', '14:58:18.667', '14:58:19.888', '14:58:21.998', '14:58:22.896', '14:58:23.524', '14:58:26.992', '14:58:29.759']",58:35.8,[],[],[],[],[],286,[],14.3
memory,kevin14,14,59:20.8,21:32,OCCUPATIONS,21,"['14:59:24.696', '14:59:25.583', '14:59:26.392', '14:59:27.248', '14:59:30.420', '14:59:31.365', '14:59:32.378', '14:59:34.110', '14:59:35.33', '14:59:36.66', '14:59:44.36', '14:59:46.306', '14:59:50.535', '14:59:51.547', '14:59:52.312', '14:59:55.81', '14:59:59.396', '15:0:0.726', '15:0:5.251', '15:0:6.82', '15:0:7.836']",00:08.3,[],[],[],[],[],307,[],15.35
memory,kevin15,15,00:53.3,19:38,NON-FOOD ITEMS FOUND IN SUPERMARKET,30,"['15:0:57.616', '15:1:2.468', '15:1:5.978', '15:1:6.874', '15:1:8.363', '15:1:8.970', '15:1:9.577', '15:1:10.253', '15:1:12.52', '15:1:12.682', '15:1:17.477', '15:1:18.36', '15:1:18.578', '15:1:19.230', '15:1:23.885', '15:1:24.360', '15:1:24.765', '15:1:27.780', '15:1:28.320', '15:1:29.490', '15:1:32.888', '15:1:33.852', '15:1:42.608', '15:1:48.755', '15:1:49.470', '15:1:50.887', '15:1:52.124', '15:1:59.370', '15:2:0.293', '15:2:2.191']",02:02.7,[],[],[],[],[],337,[],16.85
memory,kevin16,16,02:47.7,17:46,THINGS FOUND IN KITCHENS,25,"['15:2:51.464', '15:2:52.132', '15:2:53.10', '15:2:53.885', '15:2:56.22', '15:2:57.578', '15:2:59.85', '15:3:3.652', '15:3:6.420', '15:3:7.95', '15:3:14.50', '15:3:20.257', '15:3:22.643', '15:3:33.131', '15:3:34.73', '15:3:34.501', '15:3:35.60', '15:3:35.603', '15:3:39.585', '15:3:42.688', '15:3:43.703', '15:3:44.845', '15:3:47.146', '15:3:47.909', '15:3:53.62']",03:54.2,[],[],[],[],[],362,[],18.1
memory,kevin17,17,04:39.2,16:47,HOLIDAYS,10,"['15:4:41.983', '15:4:42.608', '15:4:43.417', '15:4:44.92', '15:4:44.812', '15:4:45.735', '15:4:46.680', '15:4:49.290', '15:4:51.764', '15:4:52.440']",04:53.7,[],[],[],[],[],372,[],18.6
memory,kevin18,18,05:38.8,15:34,MEANS OF TRANSPORT,8,"['15:5:41.76', '15:5:45.269', '15:5:46.79', '15:5:47.2', '15:5:50.152', '15:5:51.231', '15:5:52.785', '15:5:54.135']",06:06.6,triangle,2,triangle,2,1,380,0,19
memory,kevin19,19,06:51.6,14:00,TOYS,20,"['15:6:56.236', '15:6:58.401', '15:6:59.340', '15:7:0.105', '15:7:5.280', '15:7:6.111', '15:7:8.115', '15:7:8.879', '15:7:9.577', '15:7:10.792', '15:7:11.847', '15:7:16.327', '15:7:17.227', '15:7:19.95', '15:7:19.861', '15:7:26.949', '15:7:27.915', '15:7:28.702', '15:7:31.582', '15:7:39.682']",07:40.6,[],[],[],[],[],400,[],20
memory,kevin20,20,08:25.6,12:54,HOME APPLIANCES,8,"['15:8:29.684', '15:8:31.478', '15:8:33.120', '15:8:34.312', '15:8:34.987', '15:8:36.405', '15:8:38.699', '15:8:39.982']",08:46.2,[],[],[],[],[],408,[],20
memory,kevin21,21,09:31.2,11:03,BODY PARTS,39,"['15:9:34.68', '15:9:34.928', '15:9:35.585', '15:9:36.214', '15:9:38.578', '15:9:39.230', '15:9:40.400', '15:9:41.458', '15:9:44.90', '15:9:46.590', '15:9:48.705', '15:9:49.650', '15:9:51.203', '15:9:53.116', '15:9:53.811', '15:9:54.648', '15:9:57.369', '15:9:59.439', '15:10:1.285', '15:10:2.320', '15:10:2.950', '15:10:3.557', '15:10:4.120', '15:10:4.728', '15:10:7.517', '15:10:8.598', '15:10:9.160', '15:10:9.879', '15:10:11.253', '15:10:12.86', '15:10:14.741', '15:10:15.461', '15:10:18.746', '15:10:19.872', '15:10:21.176', '15:10:22.143', '15:10:22.999', '15:10:28.241', '15:10:35.262']",10:36.8,square,3,square,3,1,447,0,20
memory,kevin22,22,11:21.8,10:00,FURNITURE,10,"['15:11:23.739', '15:11:24.424', '15:11:25.436', '15:11:30.252', '15:11:32.256', '15:11:33.17', '15:11:34.32', '15:11:36.910', '15:11:38.576', '15:11:39.386']",11:40.8,[],[],[],[],[],457,[],20
memory,kevin23,23,12:25.1,8:40,CLOTHING,18,"['15:12:28.25', '15:12:30.285', '15:12:33.589', '15:12:34.286', '15:12:35.74', '15:12:36.916', '15:12:38.766', '15:12:39.506', '15:12:40.158', '15:12:41.442', '15:12:42.276', '15:12:44.614', '15:12:45.806', '15:12:48.596', '15:12:49.431', '15:12:50.689', '15:12:51.430', '15:12:54.447']",13:00.3,[],[],[],[],[],475,[],20
memory,kevin24,24,13:45.3,7:17,SPORTS,19,"['15:13:48.776', '15:13:49.527', '15:13:50.562', '15:13:51.395', '15:13:52.70', '15:13:54.856', '15:13:55.579', '15:13:58.280', '15:13:58.953', '15:13:59.630', '15:14:1.875', '15:14:2.911', '15:14:3.812', '15:14:4.737', '15:14:7.392', '15:14:9.597', '15:14:14.73', '15:14:15.582', '15:14:16.862']",14:23.6,[],[],[],[],[],494,[],20
memory,kevin25,25,15:08.6,5:13,MEDICAL CONDITIONS,25,"['15:15:11.971', '15:15:12.552', '15:15:20.111', '15:15:20.922', '15:15:27.381', '15:15:31.544', '15:15:32.780', '15:15:33.859', '15:15:35.525', '15:15:36.584', '15:15:37.256', '15:15:38.518', '15:15:41.532', '15:15:46.730', '15:15:51.74', '15:15:51.972', '15:16:3.66', '15:16:9.117', '15:16:11.97', '15:16:15.58', '15:16:16.746', '15:16:17.578', '15:16:18.881', '15:16:23.545', '15:16:26.601']",16:27.3,[],[],[],[],[],519,[],20
