Experiment Name,Subject ID,trials,Start Time,time,categoryname,score,scoretime,switchtime,partshape,partshapenum,trueshape,trueshapenum,result,totalscore,minusscore,money
memory,0925wed1,1,0,28:55,NATURAL ENVIRONMENT,5,"[3649, 5529, 7221, 13858, 15813]",19647,[],[],[],[],[],5,[],0.25
memory,0925wed2,2,64663,26:37,FURNITURE,15,"[69129, 70604, 73619, 74338, 74946, 76858, 78771, 80188, 87069, 95377, 97832, 99493, 104350, 117287, 134127]",157395,[],[],[],[],[],20,[],1.00
memory,0925wed3,3,202409,23:47,CLOTHING,33,"[206203, 206978, 207583, 209903, 210578, 211022, 213772, 214336, 215798, 216563, 220208, 221872, 224798, 226914, 233865, 237646, 238953, 260644, 263994, 265300, 267368, 268314, 268831, 277739, 289242, 294796, 301007, 310548, 310997, 312009, 312887, 316666, 322404]",327580,circle,1,circle,1,1,53,0,2.65
memory,0925wed4,4,372596,21:45,HOBBIES,19,"[377396, 378520, 380113, 381354, 382480, 383133, 384483, 386979, 387947, 389725, 396183, 396970, 398022, 400570, 404101, 409232, 427683, 429439, 438371]",449653,[],[],[],[],[],72,[],3.60
memory,0925wed5,5,494664,18:06,NON-FOOD ITEMS FOUND IN SUPERMARKET,41,"[501108, 505082, 507514, 508233, 512218, 514197, 515884, 520992, 521532, 522635, 524367, 528619, 531116, 543582, 545540, 548013, 550037, 552741, 561583, 563428, 567815, 568489, 570134, 570650, 571032, 575202, 580596, 581968, 589214, 590854, 592272, 596143, 614819, 621815, 622715, 624538, 634430, 637072, 642109, 643664, 645913]",668420,[],[],[],[],[],113,[],5.65
memory,0925wed6,6,713438,07:57,THINGS FOUND IN KITCHENS,133,"[719733, 720683, 721239, 722685, 724709, 725226, 725565, 727317, 730943, 731932, 737737, 740730, 742507, 745567, 746242, 748807, 750990, 751643, 754905, 762375, 762875, 763319, 765341, 769508, 771848, 772612, 776392, 779002, 781207, 782332, 789241, 792165, 793943, 797475, 801188, 803618, 805193, 806228, 807105, 813177, 814578, 816939, 822518, 829471, 836022, 838651, 841441, 850081, 852782, 855796, 860386, 861421, 863694, 866236, 867068, 871208, 874406, 885647, 891015, 902234, 910212, 910851, 912625, 914469, 915750, 916561, 918337, 919213, 933682, 934557, 935170, 935682, 942076, 943331, 944120, 952918, 956517, 960093, 973028, 991886, 995870, 997669, 999762, 1007063, 1011776, 1012812, 1015715, 1018731, 1022870, 1038980, 1039384, 1043616, 1044132, 1055894, 1058082, 1059612, 1063255, 1067939, 1070548, 1088187, 1093114, 1098177, 1102767, 1106139, 1118084, 1118765, 1119574, 1123084, 1131118, 1134402, 1136021, 1136561, 1137394, 1138968, 1140949, 1146190, 1167252, 1185043, 1187888, 1188628, 1203275, 1207793, 1212880, 1213917, 1226267, 1228088, 1232542, 1235314, 1236300, 1261538, 1269785, 1270707, 1271449]",1277698,[],[],[],[],[],246,[],12.30
memory,0925wed7,7,1322711,06:50,FLOWERS,5,"[1329448, 1331455, 1333274, 1337688, 1341153]",1344069,circle,1,circle,1,1,251,0,12.55
memory,0925wed8,8,1389091,00:00,FOODS,110,"[1401769, 1403906, 1404535, 1405007, 1406470, 1407955, 1414441, 1416483, 1418441, 1422041, 1426316, 1426968, 1429670, 1432323, 1433065, 1434055, 1435878, 1438668, 1444383, 1444968, 1445801, 1446633, 1450886, 1452865, 1454282, 1455067, 1457950, 1465917, 1468142, 1470731, 1472240, 1473093, 1476671, 1482138, 1486842, 1491116, 1492825, 1496831, 1497887, 1499552, 1500431, 1501173, 1505584, 1507019, 1513841, 1515934, 1517147, 1518634, 1519848, 1520905, 1527048, 1528870, 1530648, 1536723, 1537422, 1538006, 1540794, 1541424, 1542663, 1543291, 1546033, 1546780, 1550335, 1553238, 1554925, 1556387, 1575153, 1577065, 1580057, 1587776, 1588585, 1591472, 1611610, 1618893, 1621796, 1631670, 1633653, 1634327, 1637297, 1638353, 1640717, 1653434, 1657999, 1658830, 1662114, 1668865, 1675818, 1677032, 1688508, 1703178, 1704865, 1708938, 1709365, 1719522, 1720184, 1724057, 1725408, 1728400, 1729143, 1740371, 1741837, 1752093, 1753015, 1756593, 1773112, 1776506, 1779207, 1791018, 1792166, 1796103]",[],[],[],[],[],[],361,[],[]
